zip_code,latitude,longitude,cidade
22303,38.79212743455044,-77.08129573560018,Groveton
22580,38.108697499087306,-77.4526358015873,Caroline County
98270,48.05997455145541,-122.14627173416446,Marysville
53012,43.300777749059144,-87.99702820739247,Cedarburg
26507,39.6106753,-79.9331494,Monongalia County
99701,64.89246853470588,-147.81359577294117,Fairbanks North Star
36117,32.36865406033858,-86.17462614002419,Montgomery
85716,32.22662768675213,-110.92301042008548,Tucson
88007,32.31047937727273,-106.85351433181819,Doña Ana County
87508,35.5933326263596,-106.0072188536071,Santa Fe County
89117,36.14507380135747,-115.2895904764706,Las Vegas
87401,36.731024035714285,-108.1903317357143,Farmington
89119,36.087678484236456,-115.1471437906404,Paradise
89123,36.045575592,-115.14276163440002,Paradise
89452,,,
11741,40.79494872584891,-73.07035406506104,Holbrook
10075,40.77357542754286,-73.95652569805713,Manhattan
12211,42.705632730776834,-73.76879913117217,Loudonville
73013,35.60993509138655,-97.49832485042016,Oklahoma City
73130,35.458593087896254,-97.34986606714696,Midwest City
74137,36.02485529648587,-95.92934828525593,Tulsa
73150,35.42066906038647,-97.34094964178745,Oklahoma City
97540,42.24483759439253,-122.78726988504673,Talent
97405,44.01614476719317,-123.10422342410271,Eugene
97225,45.50103929633121,-122.77116083058598,West Slope
17325,39.83055383997655,-77.21873092075029,Gettysburg
57006,44.28808000808511,-96.79445449659573,Brookings
57103,43.53564056429942,-96.6901678127959,Sioux Falls
57108,43.486584155971,-96.72443773544448,Sioux Falls
37207,36.221691078787885,-86.77494647407407,Nashville-Davidson
37377,35.15378002941176,-85.33519848995098,Signal Mountain
84660,40.11419030881119,-111.64447427874127,Spanish Fork
84040,41.08645092921656,-111.929177942144,Layton
23434,36.73847203619951,-76.5947437036748,Suffolk
80520,40.2953823,-105.31773466666667,Larimer County
92677,33.529494393593154,-117.70128736430912,Laguna Niguel
81601,39.53625293333333,-107.33000461839082,Glenwood Springs
80123,39.60539774606205,-105.06240223374702,Jefferson County
06890,41.14302892526122,-73.28823310590043,Fairfield
06067,41.65971290119643,-72.66633677028571,Rocky Hill
20011,38.95393838938181,-77.01586136577882,Ward 4
20018,38.928403839357365,-76.97436071067398,Ward 5
19934,39.101119743410855,-75.56854990930233,Kent County
19806,39.75849644511278,-75.56622330902256,Wilmington
33414,26.65364902879121,-80.25983029818681,Wellington
31904,32.52498928086839,-84.97812164246946,Columbus
96743,20.0032558,-155.73506489347824,Hawaiʻi County
50022,41.411944691558446,-95.00769561688311,Atlantic
61256,41.55377138478261,-90.40255083043479,Hampton
29681,34.773666901112186,-82.24189459332689,Greenville County
29388,34.76875539180768,-82.05015320442291,Spartanburg County
29685,34.94701210769231,-82.83004756730769,Pickens County
97306,44.87306161553526,-123.03694069910092,Salem
29680,34.707976169180014,-82.28246030245052,Greenville County
45233,39.11865710542373,-84.66299531355932,Delhi Township
91101,34.14604208283583,-118.13954961268657,Pasadena
75039,32.88382663209169,-96.94109452034384,Irving
77459,29.52862533356941,-95.54188674596317,Missouri City
29803,33.50010345582291,-81.72224707353224,Aiken
29651,34.91247481763723,-82.20224991502785,Spartanburg County
77479,29.573752611956518,-95.63246595855979,Sugar Land
76262,32.98819059355433,-97.23673619183549,Tarrant County
85054,33.678398393768255,-111.95748643471275,Phoenix
29671,34.90869809501557,-82.71039492492213,Pickens County
92604,33.68860208189557,-117.78833926080549,El Camino Real
15668,40.45052331147541,-79.68198648721311,Murrysville
01824,42.602169743065694,-71.35251871532847,Chelmsford
23146,37.72601659807256,-77.70510067647393,Hanover County
